Date,Exercise Name,Set,Weight/Distance,Reps/Time,Notes
11.01.15,"Treadmill"," 1","","5",""
11.01.15,"Chin Ups"," 1","","10",""
11.01.15,"Chin Ups"," 2","","9",""
11.01.15,"Chin Ups"," 3","","4",""
11.01.15,"Chest Dips"," 1","","10",""
11.01.15,"Chest Dips"," 2","","10",""
11.01.15,"Chest Dips"," 3","","8",""
11.01.15,"Dumbbell Bench Press"," 1","18","10",""
11.01.15,"Dumbbell Bench Press"," 2","18","10",""
11.01.15,"Dumbbell Bench Press"," 3","18","6",""
11.01.15,"EZ-Bar Curl"," 1","22,5","10",""
11.01.15,"EZ-Bar Curl"," 2","22,5","10",""
11.01.15,"EZ-Bar Curl"," 3","22,5","7",""
11.01.15,"Dumbbell Shrug"," 1","6","10",""
11.01.15,"Dumbbell Shrug"," 2","6","10",""
11.01.15,"Dumbbell Shrug"," 3","6","10",""
11.01.15,"T-Bar Row"," 1","30","10",""
11.01.15,"T-Bar Row"," 2","30","10",""
11.01.15,"T-Bar Row"," 3","30","10",""
11.01.15,"Leg Press"," 1","120","10",""
11.01.15,"Leg Press"," 2","120","10",""
11.01.15,"Leg Press"," 3","120","10",""
11.01.15,"Hyperextensions"," 1","10","10",""
11.01.15,"Hyperextensions"," 2","10","10",""
11.01.15,"Hyperextensions"," 3","10","10",""
